config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
w_0.07,T3_dislocation_dipole,K3/R2/P4,good,1.05,0.6,0.07,0.008426966292134831,0.03089887640449438,True,0.7118058807972383
w_0.07,T3_dislocation_dipole,K4/R2/P3,bad,1.05,0.6,0.07,2.3230337078651684,2.615168539325843,True,0.9176214514377846
w_0.07,T4_low_angle_gb,K1/R2/P3,bad,1.05,0.6,0.07,2.2486033519553073,2.446927374301676,True,0.5507401724908996
w_0.07,T4_low_angle_gb,K2/R2/P3,good,1.05,0.6,0.07,0.0,0.025139664804469275,True,1.2584333480584895
w_0.07,T4_low_angle_gb,K3/R2/P3,good,1.05,0.6,0.07,0.0,0.06424581005586592,True,0.8250901738498121
w_0.07,T4_low_angle_gb,K3/R2/P4,good,1.05,0.6,0.07,0.0,0.05865921787709497,True,0.7358338225130928
w_0.07,T4_low_angle_gb,K4/R2/P3,bad,1.05,0.6,0.07,1.0307262569832403,1.3212290502793296,True,0.5890379528442495
w_0.07,T5_high_angle_gb,K1/R2/P3,bad,1.05,0.6,0.07,2.0294117647058822,1.9786096256684491,True,0.46537499591185527
w_0.07,T5_high_angle_gb,K2/R2/P3,good,1.05,0.6,0.07,0.0106951871657754,0.06417112299465241,True,1.2592760879848217
w_0.07,T5_high_angle_gb,K3/R2/P3,good,1.05,0.6,0.07,0.034759358288770054,0.06417112299465241,True,0.734989590492677
w_0.07,T5_high_angle_gb,K3/R2/P4,good,1.05,0.6,0.07,0.034759358288770054,0.053475935828877004,True,0.6801821096359997
w_0.07,T5_high_angle_gb,K4/R2/P3,bad,1.05,0.6,0.07,1.0641711229946524,1.4732620320855614,True,0.7720458169032525
w_0.13,T0_pristine,K1/R2/P3,bad,1.05,0.6,0.13,2.651685393258427,0.8134831460674158,True,0.8884623935622977
w_0.13,T0_pristine,K2/R2/P3,good,1.05,0.6,0.13,0.02247191011235955,0.0,True,0.9346915874714823
w_0.13,T0_pristine,K3/R2/P3,good,1.05,0.6,0.13,0.008988764044943821,0.02247191011235955,True,0.7022214101159873
w_0.13,T0_pristine,K3/R2/P4,good,1.05,0.6,0.13,0.008988764044943821,0.017977528089887642,True,0.6761942620271011
w_0.13,T0_pristine,K4/R2/P3,bad,1.05,0.6,0.13,1.5707865168539326,1.806741573033708,True,1.0073171424389635
w_0.13,T1_vacancy,K1/R2/P3,bad,1.05,0.6,0.13,2.892543859649123,0.7083333333333334,True,1.1487714004764946
w_0.13,T1_vacancy,K2/R2/P3,good,1.05,0.6,0.13,0.015350877192982455,0.013157894736842105,True,0.933649946917583
w_0.13,T1_vacancy,K3/R2/P3,good,1.05,0.6,0.13,0.03508771929824561,0.05482456140350877,True,0.6844189238391398
w_0.13,T1_vacancy,K3/R2/P4,good,1.05,0.6,0.13,0.03508771929824561,0.019736842105263157,True,0.6640088680324663
w_0.13,T1_vacancy,K4/R2/P3,bad,1.05,0.6,0.13,1.4824561403508771,1.831140350877193,True,1.0944139409656315
w_0.13,T2_stone_wales,K1/R2/P3,bad,1.05,0.6,0.13,2.694877505567929,0.8262806236080178,True,0.8390273316442008
w_0.13,T2_stone_wales,K2/R2/P3,good,1.05,0.6,0.13,0.0378619153674833,0.011135857461024499,True,0.9345241292162955
w_0.13,T2_stone_wales,K3/R2/P3,good,1.05,0.6,0.13,0.0378619153674833,0.035634743875278395,True,0.7382936977895509
w_0.13,T2_stone_wales,K3/R2/P4,good,1.05,0.6,0.13,0.0378619153674833,0.0378619153674833,True,0.7015208780375701
w_0.13,T2_stone_wales,K4/R2/P3,bad,1.05,0.6,0.13,1.3697104677060135,1.599109131403118,True,1.0905837622111836
w_0.13,T3_dislocation_dipole,K1/R2/P3,bad,1.05,0.6,0.13,2.292134831460674,1.7443820224719102,True,0.6582077014035347
w_0.13,T3_dislocation_dipole,K2/R2/P3,good,1.05,0.6,0.13,0.014044943820224719,0.02247191011235955,True,1.2994677808437196
w_0.13,T3_dislocation_dipole,K3/R2/P3,good,1.05,0.6,0.13,0.008426966292134831,0.011235955056179775,True,0.8176489097519473
w_0.13,T3_dislocation_dipole,K3/R2/P4,good,1.05,0.6,0.13,0.008426966292134831,0.028089887640449437,True,0.7470019606645489
w_0.13,T3_dislocation_dipole,K4/R2/P3,bad,1.05,0.6,0.13,2.3230337078651684,2.587078651685393,True,0.9072650403552014
w_0.13,T4_low_angle_gb,K1/R2/P3,bad,1.05,0.6,0.13,2.2486033519553073,2.374301675977654,True,0.6301169937481814
w_0.13,T4_low_angle_gb,K2/R2/P3,good,1.05,0.6,0.13,0.0,0.03910614525139665,True,1.3074982819641834
w_0.13,T4_low_angle_gb,K3/R2/P3,good,1.05,0.6,0.13,0.0,0.01675977653631285,True,0.8589593723106458
