case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T4_low_angle_gb,K1,R2,P4,K1/R2/P4,0.01,862,512,198,0.0019569471624266144,0.07644301069638738,0.07216491265601833,0.05596454144592225,True,5000,1.3188728273969376e-16,22.21144996304429,0.0003158556275695158,0.5724557935177573,False,343,251,4,0,3,1,0,3,0.25,232,161,
T4_low_angle_gb,K2,R2,P1,K2/R2/P1,0.01,862,512,198,0.0019569471624266144,2402027004252.9727,1.7365634160383004e+32,-7.229574908873139e+19,False,200,1.3188728273969376e-16,379247.25467605673,0.00037484393346857406,58168.41939642676,False,862,872,1,0,351,17,7,25,24.0,12,451,
T4_low_angle_gb,K2,R2,P2,K2/R2/P2,0.01,862,512,198,0.0019569471624266144,5805638.753816662,1.7924929107261586e+22,-3087503351027072.0,False,200,1.3188728273969376e-16,1866.8345537039354,0.016440691784781965,4737.98882922393,False,311,336,4,0,0,4,2,1,1.5,198,203,
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,0.01,862,512,198,0.0019569471624266144,0.07134637956727845,0.05200050540198397,0.2711542517311848,True,14400,1.3188728273969376e-16,72.68267960951756,0.0003748439334685742,0.8633651252957242,False,862,864,1,0,351,1,1,360,2.0,12,19,
T4_low_angle_gb,K2,R2,P4,K2/R2/P4,0.01,862,512,198,0.0019569471624266144,0.09936007584985435,0.08585572618112036,0.13591323832261124,True,5800,1.3188728273969376e-16,60.567205078114405,0.000524496520968776,0.7482841765006192,False,862,860,1,0,351,0,1,348,1.0,12,13,
T4_low_angle_gb,K3,R2,P1,K3/R2/P1,0.01,862,512,198,0.0019569471624266144,17103967578476.889,3.6871415188596755e+44,-2.15572293501039e+31,False,200,2.6377456547938753e-16,386539.75585616793,0.0005091478017570756,9684781.4979658,False,862,795,1,0,360,6,1,9,7.0,12,559,
T4_low_angle_gb,K3,R2,P2,K3/R2/P2,0.01,862,512,198,0.0019569471624266144,68170.92101777639,5.683138825756811e+17,-8336602675903.678,False,200,2.6377456547938753e-16,1356.3448761714383,0.017745087230219166,650.9707204463117,False,314,305,0,0,0,0,0,1,1.0,207,185,
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,0.01,862,512,198,0.0019569471624266144,0.051910248013954705,0.05184453763347502,0.001265846012949534,True,800,2.6377456547938753e-16,4.1729200848024295,0.0005091478017570758,0.10055206214923385,False,862,731,1,0,360,0,0,288,0.0,12,96,
T4_low_angle_gb,K3,R2,P4,K3/R2/P4,0.01,862,512,198,0.0019569471624266144,0.051910248013954705,0.05184453763347502,0.001265846012949534,True,800,2.6377456547938753e-16,4.1729200848024295,0.0005091478017570758,0.10055206214923385,False,862,731,1,0,360,0,0,288,0.0,12,96,
T4_low_angle_gb,K4,R2,P1,K4/R2/P1,0.01,862,512,198,0.0019569471624266144,414883959604.13745,1.250382798946261e+28,-3.0138133085196084e+16,False,200,2.6377456547938753e-16,8194.442479966981,0.006119525938844284,3522.8212474180687,False,183,470,1,2,2,4,1,3,1.6666666666666667,98,276,
