family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K2,wide,sigma,0.014,0.014,0.31119807941838923,0.4786096256684492,0.18876404494382024,0.22587719298245615,0.22939866369710468,0.27247191011235955,0.4720670391061452,0.4786096256684492
K2,wide,sigma,0.015,0.015,0.40316581936442225,0.6396648044692738,0.21348314606741572,0.22587719298245615,0.25389755011135856,0.4550561797752809,0.6396648044692738,0.6310160427807486
K2,wide,sigma,0.016,0.016,0.4703487111699263,0.8475935828877005,0.20224719101123595,0.22587719298245615,0.289532293986637,0.4747191011235955,0.7821229050279329,0.8475935828877005
K2,wide,sigma,0.017,0.017,0.6025977521525093,0.9776536312849162,0.27191011235955054,0.3442982456140351,0.41870824053452116,0.6404494382022472,0.9776536312849162,0.9625668449197861
K2,wide,sigma,0.018,0.018,0.6467933267732766,1.0279329608938548,0.28314606741573034,0.34868421052631576,0.4766146993318486,0.7443820224719101,1.0279329608938548,1.0
K2,wide,sigma,0.019,0.019,0.7530979268685658,1.1151685393258426,0.3303370786516854,0.41885964912280704,0.6570155902004454,1.1151685393258426,0.9972067039106145,1.0
K2,wide,sigma,0.02,0.02,1.0609048620239305,1.3623595505617978,1.0,1.0,0.9888641425389755,1.3623595505617978,1.0195530726256983,0.9946524064171123
K2,wide,sigma,0.021,0.021,1.016732283525977,1.0741573033707865,1.0741573033707865,1.0043859649122806,1.024498886414254,0.9831460674157303,1.0195530726256983,0.9946524064171123
K2,wide,sigma,0.022,0.022,1.0225964864458181,1.053072625698324,1.0,1.0504385964912282,1.0400890868596881,1.0,1.053072625698324,0.9919786096256684
K2,wide,sigma,0.023,0.023,1.02429926050688,1.1348314606741574,0.9685393258426966,1.013157894736842,1.0066815144766148,1.1348314606741574,1.0279329608938548,0.9946524064171123
K2,wide,sigma,0.024,0.024,1.0942355653058082,1.2584269662921348,1.2584269662921348,1.1206140350877194,1.017817371937639,1.1713483146067416,0.9972067039106145,1.0
K2,wide,sigma,0.025,0.025,1.0129673497576208,1.047752808988764,1.0,1.0021929824561404,1.022271714922049,1.047752808988764,1.005586592178771,1.0
K2,wide,sigma,0.026,0.026,1.158205736961926,1.4298245614035088,1.4224719101123595,1.4298245614035088,1.0801781737193763,1.0,1.0167597765363128,1.0
K2,wide,sigma,0.027,0.027,1.2067229948570442,1.6089887640449438,1.6089887640449438,1.486842105263158,1.0601336302895323,1.0814606741573034,1.005586592178771,0.9973262032085561
K2,wide,sigma,0.028,0.028,1.1329490898116235,1.3910112359550562,1.3910112359550562,1.3092105263157894,1.0913140311804008,1.0168539325842696,1.0,0.9893048128342246
K2,wide,sigma,0.029,0.029,1.01303914357994,1.0382022471910113,1.0382022471910113,1.0328947368421053,1.017817371937639,1.002808988764045,0.9972067039106145,0.9893048128342246
